epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27839,1.1711,2.55082,1.64235,0.00333,1,0.34274,0.10959,0.55875,3.15929,1.44411,4e-05,4e-05,4e-05
2,2.62088,0.99539,2.52986,1.51165,0.00333,1,0.435,0.20298,0.49579,3.15696,1.38513,9.802e-05,9.802e-05,9.802e-05
3,4.42686,0.81452,2.44456,1.43835,0.00333,1,0.55222,0.3975,0.432,3.14324,1.30927,0.000153664,0.000153664,0.000153664
4,6.39467,0.8242,2.32868,1.4322,0.00333,1,0.82833,0.65413,0.40171,3.11813,1.2164,0.000206932,0.000206932,0.000206932
5,8.14934,0.87468,2.17484,1.56618,0.00333,1,0.945,0.71767,0.46599,3.11003,1.21396,0.000257824,0.000257824,0.000257824
6,9.91571,0.68482,1.91071,1.31501,0.00333,1,0.995,0.7585,0.43697,3.11662,1.19679,0.00030634,0.00030634,0.00030634
7,11.6431,0.65137,1.80826,1.24577,0.00333,1,0.995,0.76462,0.39172,3.00836,1.20449,0.00035248,0.00035248,0.00035248
8,13.2899,0.72871,1.58903,1.32274,0.00333,1,0.945,0.67901,0.43651,2.84056,1.22074,0.000396244,0.000396244,0.000396244
9,14.9531,0.59782,1.4994,1.21382,0.00333,1,0.945,0.67901,0.43651,2.84056,1.22074,0.000437632,0.000437632,0.000437632
10,16.5893,0.70336,1.55799,1.32073,0.03049,1,0.85611,0.74422,0.46038,2.76409,1.36372,0.000476644,0.000476644,0.000476644
11,18.1941,0.49796,1.1504,1.16467,0.03049,1,0.85611,0.74422,0.46038,2.76409,1.36372,0.00051328,0.00051328,0.00051328
12,19.9279,0.53435,1.26257,1.17437,0.05948,1,0.77,0.6555,0.69123,2.80289,1.55634,0.00054754,0.00054754,0.00054754
13,21.5137,0.72191,1.36921,1.36928,0.05948,1,0.77,0.6555,0.69123,2.80289,1.55634,0.000579424,0.000579424,0.000579424
14,23.1997,0.63532,1.17201,1.26523,0.01758,1,0.82536,0.54843,1.2908,3.11982,2.05675,0.000608932,0.000608932,0.000608932
15,24.9388,0.65631,1.23774,1.25422,0.01758,1,0.82536,0.54843,1.2908,3.11982,2.05675,0.000636064,0.000636064,0.000636064
16,26.6792,0.81486,1.26966,1.3261,0.01758,1,0.82536,0.54843,1.2908,3.11982,2.05675,0.00066082,0.00066082,0.00066082
