epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09229,0.99386,3.07404,1.55446,0.00459,1,0.17421,0.1162,0.92725,3.83511,1.82347,0.00010003,0.00010003,0.00010003
2,7.66664,0.83823,2.89269,1.44222,0.00431,1,0.59334,0.37991,0.53405,3.80186,1.26738,0.000210106,0.000210106,0.000210106
3,12.2985,0.85499,2.68693,1.48712,0.00417,1,0.66042,0.43492,0.63148,3.62939,1.41025,0.000315655,0.000315655,0.000315655
4,17.0693,0.76222,2.40577,1.3976,0.00425,1,0.5535,0.40133,0.61559,3.58154,1.38317,0.000416676,0.000416676,0.000416676
5,21.0101,0.95088,2.36543,1.51812,0.0043,1,0.50853,0.40522,0.57731,3.35138,1.40415,0.000513171,0.000513171,0.000513171
6,25.3702,0.83074,2.04314,1.41714,0.0043,1,0.59442,0.40827,0.73467,3.11516,1.58114,0.000605139,0.000605139,0.000605139
7,29.7112,0.9214,2.02409,1.56494,0.76663,0.34656,0.44692,0.31651,0.80248,3.15219,1.7324,0.000692579,0.000692579,0.000692579
8,33.9813,0.88356,2.12915,1.5659,0.26193,0.22386,0.46485,0.32061,0.88942,3.13622,1.9175,0.000775493,0.000775493,0.000775493
9,38.008,0.79283,1.92962,1.40117,0.29846,0.525,0.4652,0.34814,1.11895,3.08154,1.96035,0.000853879,0.000853879,0.000853879
10,40.7001,0.88243,2.26326,1.48659,0.29846,0.525,0.4652,0.34814,1.11895,3.08154,1.96035,0.000927738,0.000927738,0.000927738
11,43.3975,0.9018,1.96436,1.52315,0.34491,0.84815,0.4573,0.34639,0.92203,2.67801,1.67343,0.00099707,0.00099707,0.00099707
12,47.7174,0.87737,1.85375,1.43608,0.34491,0.84815,0.4573,0.34639,0.92203,2.67801,1.67343,0.00106188,0.00106188,0.00106188
13,51.9649,0.83367,1.91071,1.46472,0.47529,0.95966,0.60597,0.46885,0.76946,3.59872,1.72497,0.00108947,0.00108947,0.00108947
14,56.3392,0.8788,1.911,1.48095,0.47529,0.95966,0.60597,0.46885,0.76946,3.59872,1.72497,0.00106118,0.00106118,0.00106118
15,60.4854,0.76746,1.70509,1.37044,0.80239,0.44596,0.71903,0.51865,0.99462,2.94921,1.97718,0.00103288,0.00103288,0.00103288
