epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16784,1.03281,2.94535,1.63158,0.00338,1,0.1658,0.11753,0.7082,3.61706,1.46595,6.668e-05,6.668e-05,6.668e-05
2,6.45821,0.7978,2.78996,1.37061,0.00332,1,0.3752,0.26506,0.49476,3.53521,1.29224,0.000147059,0.000147059,0.000147059
3,9.52799,0.79622,2.68146,1.42663,0.00332,1,0.54648,0.35678,0.50766,3.51985,1.28468,0.000224138,0.000224138,0.000224138
4,12.5527,0.7535,2.52593,1.3654,0.00338,1,0.47753,0.28257,0.53482,3.43709,1.28034,0.000297916,0.000297916,0.000297916
5,15.5097,0.95117,2.45272,1.51082,0.00341,1,0.47876,0.31355,0.53155,3.37444,1.32969,0.000368394,0.000368394,0.000368394
6,18.5262,0.76122,2.35211,1.39653,0.00343,1,0.467,0.32384,0.56126,3.25179,1.38035,0.00043557,0.00043557,0.00043557
7,21.609,0.69381,2.03114,1.28834,0.0035,1,0.47331,0.38004,0.61466,3.18822,1.44838,0.000499447,0.000499447,0.000499447
8,24.6859,0.66245,2.05372,1.32437,0.0035,1,0.47331,0.38004,0.61466,3.18822,1.44838,0.000560022,0.000560022,0.000560022
9,27.8522,0.65805,1.84925,1.27685,0.00364,1,0.64872,0.4274,0.64752,3.27764,1.58328,0.000617297,0.000617297,0.000617297
10,30.8884,0.82264,2.04714,1.41952,0.00368,1,0.49749,0.33462,1.0713,3.59953,1.80005,0.000671271,0.000671271,0.000671271
11,33.7091,0.75005,1.84059,1.4724,0.00368,1,0.49749,0.33462,1.0713,3.59953,1.80005,0.000721944,0.000721944,0.000721944
12,36.6119,0.6103,1.77782,1.3043,0.50597,0.61273,0.53581,0.39402,0.86368,3.01022,1.56786,0.000769317,0.000769317,0.000769317
13,39.538,0.75575,1.69724,1.41386,0.50597,0.61273,0.53581,0.39402,0.86368,3.01022,1.56786,0.000813389,0.000813389,0.000813389
14,42.5777,0.65211,1.64159,1.31656,0.50597,0.61273,0.53581,0.39402,0.86368,3.01022,1.56786,0.000854161,0.000854161,0.000854161
15,45.5546,0.54185,1.58297,1.22817,0.54452,0.75,0.65611,0.49026,0.96925,2.85314,1.88833,0.000891632,0.000891632,0.000891632
16,48.4929,0.66983,1.67645,1.31552,0.54452,0.75,0.65611,0.49026,0.96925,2.85314,1.88833,0.000925802,0.000925802,0.000925802
17,51.3147,0.61933,1.70326,1.26853,0.54452,0.75,0.65611,0.49026,0.96925,2.85314,1.88833,0.000956671,0.000956671,0.000956671
18,54.0773,0.6154,1.51341,1.1845,0.41507,0.875,0.60762,0.37107,1.44517,2.55097,2.46573,0.00098424,0.00098424,0.00098424
19,56.9661,0.80002,1.72629,1.42225,0.41507,0.875,0.60762,0.37107,1.44517,2.55097,2.46573,0.00100851,0.00100851,0.00100851
20,59.6005,0.74298,1.59723,1.37179,0.41507,0.875,0.60762,0.37107,1.44517,2.55097,2.46573,0.00102948,0.00102948,0.00102948
21,62.0792,0.66905,1.46485,1.28142,0.60235,0.70939,0.69544,0.38051,1.84623,2.6812,2.84371,0.00100687,0.00100687,0.00100687
22,64.798,0.75383,1.40784,1.40046,0.60235,0.70939,0.69544,0.38051,1.84623,2.6812,2.84371,0.000973861,0.000973861,0.000973861
23,67.6804,0.65144,1.44189,1.315,0.60235,0.70939,0.69544,0.38051,1.84623,2.6812,2.84371,0.000940855,0.000940855,0.000940855
24,70.3415,0.5679,1.26737,1.18848,0.50013,0.525,0.48193,0.33339,0.86522,3.52724,1.75156,0.000907848,0.000907848,0.000907848
25,72.8804,0.64028,1.26568,1.31768,0.50013,0.525,0.48193,0.33339,0.86522,3.52724,1.75156,0.000874842,0.000874842,0.000874842
26,75.6169,0.68018,1.50111,1.33295,0.50013,0.525,0.48193,0.33339,0.86522,3.52724,1.75156,0.000841835,0.000841835,0.000841835
27,78.3892,0.80657,1.55582,1.49724,0.5479,0.98852,0.8,0.56026,0.69074,3.15621,1.47008,0.000808828,0.000808828,0.000808828
28,81.3109,0.59674,1.29233,1.2002,0.5479,0.98852,0.8,0.56026,0.69074,3.15621,1.47008,0.000775822,0.000775822,0.000775822
29,84.1942,0.60279,1.34113,1.27117,0.5479,0.98852,0.8,0.56026,0.69074,3.15621,1.47008,0.000742815,0.000742815,0.000742815
30,87.1441,0.62894,1.34366,1.36342,0.77197,0.98867,0.95333,0.76829,0.64474,2.30099,1.44743,0.000709809,0.000709809,0.000709809
31,90.2282,0.66635,1.35577,1.26791,0.77197,0.98867,0.95333,0.76829,0.64474,2.30099,1.44743,0.000676802,0.000676802,0.000676802
32,93.1701,0.6557,1.35987,1.39385,0.77197,0.98867,0.95333,0.76829,0.64474,2.30099,1.44743,0.000643795,0.000643795,0.000643795
33,96.2218,0.56743,1.3025,1.25529,0.77197,0.98867,0.95333,0.76829,0.64474,2.30099,1.44743,0.000610789,0.000610789,0.000610789
34,99.0262,0.61072,1.18202,1.25849,0.81888,0.93418,0.92,0.72637,0.73318,2.05714,1.61294,0.000577782,0.000577782,0.000577782
35,102.093,0.57612,1.21008,1.21414,0.81888,0.93418,0.92,0.72637,0.73318,2.05714,1.61294,0.000544776,0.000544776,0.000544776
36,105.027,0.64449,1.2561,1.25527,0.81888,0.93418,0.92,0.72637,0.73318,2.05714,1.61294,0.000511769,0.000511769,0.000511769
37,107.939,0.61272,1.13652,1.19016,0.86068,1,0.97,0.76685,0.73994,1.80829,1.57397,0.000478762,0.000478762,0.000478762
38,110.975,0.58965,1.41259,1.19846,0.86068,1,0.97,0.76685,0.73994,1.80829,1.57397,0.000445756,0.000445756,0.000445756
39,114.068,0.63133,1.32622,1.38535,0.86068,1,0.97,0.76685,0.73994,1.80829,1.57397,0.000412749,0.000412749,0.000412749
40,116.956,0.49919,1.10638,1.16844,0.8705,1,0.97,0.811,0.72421,1.85709,1.56217,0.000379743,0.000379743,0.000379743
41,119.887,0.73449,2.13781,1.56265,0.8705,1,0.97,0.811,0.72421,1.85709,1.56217,0.000346736,0.000346736,0.000346736
42,122.986,0.60349,2.43851,1.44122,0.8705,1,0.97,0.811,0.72421,1.85709,1.56217,0.000313729,0.000313729,0.000313729
43,126.079,0.46873,1.83774,1.1687,0.97775,0.98983,0.995,0.81008,0.72658,1.72991,1.5648,0.000280723,0.000280723,0.000280723
44,129.069,0.44758,1.88471,1.18882,0.97775,0.98983,0.995,0.81008,0.72658,1.72991,1.5648,0.000247716,0.000247716,0.000247716
